moment,label
Positive feed back on a book I'd written from a publisher.,achievement
"A few hours ago, my spouse came to visit me at work and get lunch with me. Being able to spend time with her and get food made me quite happy. ",affection
I picked up running again now that the winter weather has finally died down. I feel much better physically and emotionally because of it.,nature
I watched my favorite television series on Netflix.,leisure
I had lunch with some friends at work and we had a engaging conversation about our plans for the weekend,bonding
I'm pregnant with our second child and my husband and I found out yesterday we are having a girl. ,affection
"Watching my dog play at the dog park, months after knee surgery.",affection
I got to ride a motorcycle again for the first time in a long time.,leisure
"While I`m lying down on the sofa, my mother tickle me....I was laughing.",affection
I passed my driving course,achievement
MY BROTHER BIRTHDAY CELEBRATED IN MY HOUSE,affection
I WENT TO BROWSING CENTER,leisure
I went to my sons party.,affection
I got caught up on most of the chores around the house.,achievement
Texting my dad.,affection
I am watching my favorite show.,leisure
I was able to do decent on my midterm.,achievement
I bought for my mom yesterday a very nice purse and flower for mother's day and a gift card for Walmart.,affection
"in past time i am very happy .why because i am not excepted my husband given sudden surprise,what is that is we are going to other countries for enjoy.",affection
My child won an Art contest and will be in the local paper tomorrow.,affection
I was happy when my cat jumped on my lap and wanted some attention from me. ,affection
I took my daughter to the park. ,affection
MY BROTHER BIRTHDAY CELEBRATED IN MY HOUSE,affection
I started trading small time stocks to begin learning.,achievement
I ordered a pepperoni pizza.,enjoy_the_moment
"I finished a repair of a broken pipe, without calling a plumber.",achievement
We took the children to a local lake with walking path to fish and feed the geese and ducks. ,affection
I was incredibly happy to get the mail and discover that my new faux fur throw had arrived and that it was exactly what I had been wanting. ,achievement
Went looking for a new car.,achievement
The day i married my spouse.. the best day in my life.. our dream comes true.. she was very lucky to me... always gives me positive thoughts.. she stands with me in all my up and downs..the best of day of my life.. the happiest moment ever..,affection
Moving into my first home with the love of my life.,affection
I got caught up on watching Critical Role,leisure
i got a raise at work today,achievement
Getting the new job that I really wanted was my favorite moment.,achievement
I'm starting to feel like I have authority in my position at work.,achievement
I lost my job saying the reason of manpower reduction. So I was searching for the job which was hard to get at my age. Yesterday I received a call for an interview and I immediately received the result of selection . My joy was endless and I am very much happy at it.my whole family got excited,achievement
i painted my home last month,achievement
I got a 10 dollar gift card to starbucks.,achievement
My friend who moved to Texas for a new job had been gone for 4 months and randomly came home this weekend to surprise me.,bonding
"Last night, I volunteered at my church for Vacation Bible School where I helped greet kids as they checked in.",achievement
"my happiest day of my Life. My most memorable moment till now the day when i got my first job selection in top MNC Company,that day very sweet day in my life.",achievement
I successfully climbed a ladder for the first time since my knee injury.,achievement
I managed to beat a video game that I had been playing for a long time. ,achievement
Drinking a nice smooth cup of coffee,enjoy_the_moment
I went to a burger shop and they gave surprise offers and it made me happy,leisure
last week my girlfriend was angry with me. because of she did not give importance to me. that was a big problem between us.,affection
My flower garden is beginning to look better after a few days of wilting that began soon after planting.,nature
I got to spend some time with a friend that I hadn't seen for a while.,bonding
I was given a significant raise at my workplace.,achievement
We went to a sushi place for lunch.  I had a pork cutlet curry bowl and my son had chicken don.  Both dishes were great and we shared with each other.  He ate the whole bowl again.  I was amazed at his ability to eat today.  ,affection
"After a brutal 14-hour long day of factory work, my fiance was waiting at home for me with my favorite dinner prepared, my favorite movie ready to go on the television and a giant marijuana cigarette; needless to say it was one of the cheeriest and relaxing nights I have ever had, granted it had been years since smoking marijuana.",affection
I went to the apple store and bought a brand new apple mac laptop computer for myself.,achievement
"  Installation of Boiler at site: In the month of April. Installation team for boiler had arrived. There are different components of boiler like air pre heater, water tank,  chimney , PRS, header etc. It is a quite a skilful task. After 15 days of work finally all the components were installed. It is a very happy moment.",achievement
"While hiking, I ran into a friend I haven't seen in years at a point where I was happy to see anyone - but especially her.",bonding
It made me very happy when my son got accepted to an outstanding college.,affection
"Yesterday I was looking outside my  house, some children playing cricket by looking them i was remembered my childhood days ",enjoy_the_moment
I received a compliment at work.,achievement
Last night I was able to put my infant to sleep with no struggles this made me very happy.,affection
Today morning i had fight with my boy friend who is much care with me and the reason of the fight is very chilly but i love to fight with him and i ever like to put fight to him .the reason were very simple but the way of his speech were irritate me so that i were fight to him .but he were really hurt by my words but i had enjoyed very well .i had fun with him but i really miss him .he were think i were in angry but still i am enjoying the fight to him .today morning is really interesting to me and the fight of my love is excited the day .today evening surely he will come and meet me but i still continue the same reaction and i will enjoyed it well .this fight i never forget in my life time .,affection
My three year old daughter got through an entire soccer practice without getting into trouble and that made my heart happy.,affection
I was able to locate my headphones that had gone missing.,achievement
I was happy when I was watching a movie with my kid and spending quality time together.,affection
My kids and I went to the park and played and had a picnic.,affection
I celebrated my birthday with nineteen of my closest friends. ,bonding
My dog was ill and had to have a biopsy. I was very happy when the tests came back negative and no further surgery was needed.,affection
I just cooked dinner for a friend of mine and she really liked it (still over),bonding
When I got to my clients house and found out he was in a good mood.,bonding
I WENT TO MOVIE,leisure
"Happiness does not depend on something big to happen. We can create happiness moments right here, right now. If you really need a reason to be happy, you can create that reason too. Wherever you are, whoever you with, get connected to him/her. Share something. Ask something. You can find something interesting about him if you can explore him.

If you are all alone walking somewhere, see things around you. You will find something that can make you smile. Look at a child playing nearby. Gaze at the green nature. Appreciate beauty. It is all around you. Find happiness. It is all around you.

No matter if, you are doing a job, doing homework, or managing your business. You are eligible to be happy always. You often forget that as I do. However, it is also our duty to remind ourselves.",enjoy_the_moment
My wife brought me lunch at work.,affection
I was happy when I finished my first website.,achievement
"Unfortunately, I went to my grandma house. On that day, My brother came there. That day is his birthday. Suddenly I am go to gift shop with him and then we purchased many things. On seeing the gifts which I selected, he felt very blissful.",affection
 some of my relatives come home and enjoyable moments.,affection
An old friend added me on facebook who i havent talked to in a while.,bonding
I remember how four years ago today something fabulous happened. ,enjoy_the_moment
I experimented with a new dinner and turned out really well.,achievement
Purchased a washing machine for washing my clothes.,achievement
"I cooked a homemade artisan pizza that was loaded with toppings yesterday afternoon, and it was delicious.",achievement
My 5 year old daughter had her preschool graduation ceremony. ,affection
I went for a trip with family.,affection
My girlfriend surprised me at work and brought me food during my shift.,affection
I hired a maid to help out around the house.,achievement
My son is was chosen by his band section leader to perform in several performances outside of the normal band activities.,achievement
my first kiss and first love sharing.,affection
I bought a new pitbull puppy.,achievement
I discovered another brand of organic chocolate bar and it costs less than two dollars!,enjoy_the_moment
Both of my dogs and my toddler played together nicely outside while I enjoyed the nice sunny weather.,nature
i am meet for school friends 3 year after,bonding
I discovered that my uncle's cancer treatments have been successful and he's feeling a lot better now.,affection
"Today at work, we were able to work from home the last four hours of the day and we will be also at home tomorrow all day.",achievement
i got a girlfriend,achievement
Last night I played a co-operative video game with 2 of my best friends for over 3 hours,bonding
The insurance company I've been dealing with finally sent a check to reimburse me.,achievement
Visit my best friend,bonding
"I checked my phone and there was a message that i got my month's pay, which was slightly higher than expected.",achievement
I watched a street performer doing tricks for around twenty minutes.,enjoy_the_moment
I went out to lunch with my friends whom I was visiting.,bonding
"I saw the progress report of a coworker that I have been helping out and it looked fantastic, which made me very happy.",achievement
I was happy because I was able to increase my savings this week.,achievement
Today afternoon I went to a restaurant for lunch with my colleagues.  We had a nice meal.  ,bonding
i paid off a loan i had gotten to pay some bills.,achievement
"I am a nursing major. I recently took a test in my Med-Surg II class and got a B. A B might not seem like that great of a grade to some people, but to me it was the best feeling to have studied day and night in our HARDEST class of the entire program and get the grade that reflected my hard work.",achievement
I watched a movie with my friends last night and it made me happy because I was finally able to relax and not think about work.,bonding
I ran into an old friend on the train this morning and we cauhgt up and made plans to hang out!,bonding
i went to movie,leisure
"my husband came home from the supermarket with my favorite desert, cookies and cream ice cream",affection
I listened to a new song that I really liked.,leisure
Purchased a Bicycle for exercising and keep my body fit.,exercise
"I managed to completely pay off a credit card I have owed money to for a while, a very satisfying feeling.",achievement
I visited my daughter & granddaughters in New York.,affection
I took a relaxing bath.,enjoy_the_moment
Waking up this morning without back pain.,achievement
I WENT TO MOVIE,leisure
I get to relax and watch the warriors play tonight at my friends house ,bonding
AT THE SAME TIME FULL ENJOYMENT IN FRIENDS GOING ON THE TEMPLE.,bonding
I solved some difficult problems at work.,achievement
i am very happy because i find my love in few day ago. i am very happy for this and i decided that she would be my life partner . because i love so much so i am very happy.,affection
Watching the whole Fast and Furious movies marathon before the new one comes out.,leisure
I went to my favorite coffee shop for lunch today. Their muffin is fantastic as always.,leisure
My son had sent me a beautiful Mother's Day card saying why I was the best mom.,affection
when i was talking with my friends about our past memories that made me very happy. i had good time with my friends.,bonding
"I was finally able to mow the lawn because it didn't rain, it looks much nicer.",achievement
I saw that there was a new episode of Mindy Project and I was excited to watch it.,leisure
"After fracturing his jaw, my puppy got his muzzle off and the vet said he was completely healed. ",affection
"I checked my bank account after I was paid via direct deposit, and made more than I thought I did.",achievement
I bought beer.,leisure
Watching my favorite anime shows,leisure
I made a ball pit for my kids.,affection
My friend passed Degree exam,achievement
 I WENT TO TEMPLE,leisure
"I found out that we will be able to get a mortgage for a new home very soon, and I am so happy about that.",achievement
I got to spend time working on a couple of my hobbies that I haven't had time for lately.,leisure
I got a beer with my friends at a bar.,bonding
I finally played my first round of golf under 90.,achievement
"One of the happiest moment was my sister,s wedding.it was 3 months before and the whole family was so happy for her.",affection
I WENT TO PLAY.,leisure
MY son started taking his first steps,affection
"I thought I had a squirrel infestation in the attic, but I learned that I actually don't.",enjoy_the_moment
"Last Tuesday, my husband and myself had a spontaneous night out with our best friends. We played pool and hung out for hours. ",affection
I went on a nature walk today during a break from working and the weather as well as the nature reserve were absolutely beautiful.,nature
Sold a few new things on eBay to clear out space.,achievement
I completed a mission in the video game Titanfall 2 that took many tries to beat.,achievement
I went out for drinks at a small farm brewery with some great friends. We played cards and listened to a small band. Time got away from us and we ended up staying there for 5 hours.,bonding
I did not have to work yesterday and my baby to be is dong great. We had a Dr. appointment and Jo-Jo my unborn child is doing really good. ,affection
I didn't have to go to school today and I also have no homework.,enjoy_the_moment
Today the management take the decision to extent my contract to another one year.,achievement
"I won small scratch off lottery, I won 20$. It was good, I bought beers and snacks with it.",achievement
I built a new computer,achievement
"I needed to replace a light bulb in a headlight in my car. I was scared that I wasn't going to be able to fix it myself. After going online and finding out how to do it, I was able to change the lightbulb.",achievement
"I received an email that my manuscript, which I had worked on for a long time, had been accepted for publication with minor revisions.",achievement
I went in a birthday party of my friend and enjoyed a lot.,bonding
My future wife and I were able to get the wedding location we wanted.,affection
I took my 9 month old daughter to the park today since it was a beautiful day.,affection
I talked to my mom on the phone about her upcoming trip to visit me.,affection
"I got a good nights sleep last night.  The type where I woke up naturally and refreshed, just before the alarm clock was set to go off.",leisure
"I'd been gone for a work trip for a little bit less than a week, and when I walked in the door and laid down on my bed, my cat snuggled up against me and started purring.",affection
I enjoyed the weather and sat outside. ,nature
We were able to pay off one of our credit cards with the tax money we received back.,achievement
I received 100% on my final paper for a 400 level course.,achievement
I was able to get pregnant after trying many times. ,achievement
I played video games.,leisure
played online multiplayer games and earn more money from rummy game. i won more amount from rummy game. its also memorable. ,leisure
I watched my daughter dance yesterday at class.,affection
I was offered a scholarship for my grad program.,achievement
A friend who I thought had been becoming more distant called on the phone to chat.,bonding
I recently was able to save enough money to buy a cosmetic product I've been wanting for a long time. ,achievement
I took the time to fix myself a special lunch.,enjoy_the_moment
"I arrived at a restaurant to eat dinner, really wanting a cheeseburger, and found out it was half off burger night.",enjoy_the_moment
The trip I made to Aruba,leisure
I took the dog out for a walk.,affection
I found out that my productivity bonus for the year was going to be larger than I expected.,achievement
I took my son to the park and he figured out how to go down the slide on his own,affection
I got a new job!,achievement
I WENT TO MOVIE,leisure
I met my school friend in a movie theater by chance. We were so happy to see each other after a very long time. We had food chat and dinner after the movie. I felt so happy.,bonding
My son gave me a hug.,affection
A couple of days ago I found wild Morel mushrooms and brought them home.,enjoy_the_moment
"The weather is very sultry in our place, our AC unit was damaged by rodents. The Electrician came earlier today and repaired it. Thank God, I need not sweat today.",nature
What made me really happy is that my daughter got a job offer for a great position she really wanted.,affection
I received a compliment at work.,achievement
I bought a one year visa for Vietnam.,achievement
I was happy this weekend when I finished watching season 2 of Master of None.,leisure
I had a nice boba tea run with my friends.,bonding
I was playing a video game and received something out of pure luck that is valuable in the game. The odds of receiving that item was very low so I was very happy.,leisure
I helped my friend with her budgeting issues.,bonding
The team I coach won its match today.,achievement
Seeing my sons room clean! ,affection
I was accepted into a prestigious graduate program at a well-known research university.,achievement
Recently my girlfriend told me that we are having a baby and that made me happy. Another event that made me happy was going to the casino and winning some money.  Lastly living in San Diego always makes me happy.,affection
My husband and I went out for dinner and then decided to come home instead of going to a movie that neither of us was interested in.,affection
Drinking some good beer.,leisure
"Many of my seminar participants have phoned or visited their parents and told ... Your goal is to free yourself, to regain your peace of mind, and to get on with ... The third person you must forgive is everyone else in your life who has ever ... Whenever I think of that yesterday event or situation I feel so happy, just repeat, ""I forgive myself completely.",enjoy_the_moment
Me and my husband finally got a new garage. ,affection
today complete my long time project in my office our team members are very happy,achievement
I got to interview for a job I wanted.,achievement
"I had a nice, long afternoon nap.",enjoy_the_moment
"I started grinding my own coffee beans, and the coffee tastes delicious ",achievement
MY MOM'S BIRTHDAY CELEBRATION SO I REALLY ENJOYED,affection
I finally was able to clean out my refrigerator and now it's spotless and clean.,achievement
when i got a gift,enjoy_the_moment
Got a new high score in Tetris.,achievement
I found an old pen that I had lost a long time ago and had been searching for since then.,achievement
I purchased a new hard drive last week.,achievement
"My significant other and I went to see a lights display set up in a Korean garden at night shortly after the new year and it was a magical experience, like an ethereal dream.",affection
I got to play a game I enjoyed.,leisure
I finally had new tile put down in my kitchen.,achievement
Ate a big grilled chicken salad.,leisure
WE ARE CELEBRATED MY SISTER BIRTHDAY AT MY HOME.,affection
My mom bought me some clothing that I liked.,affection
I finished a good book,achievement
"the happiest movement is change to person to person and time
to time, as far as regarding my happiest movement is
concerned when i completed my high school, it is definitely
an unforgettable movement for me all my family members was
waiting my result, it was just momentum movement,",achievement
"I finally got around to fixing my kitchen sink. Even when fully turned off it would leak water, so much that I noticed it was causing my water bill to be quite high. I replaced the faucet and now I have no more leaks.",achievement
MY FRIEND AND ME ARE GOING TO LONG TRIP TOUR AND REALLY ENJOY IS MY LIFE,bonding
"Happy people ask themselves, ""Will this problem matter a year from now?"" They understand that life's too short to get worked up over trivial situations. Letting things roll off your back will definitely put you at ease to enjoy the more important things in life.",enjoy_the_moment
I enjoyed some great food from a Chinese buffet.,enjoy_the_moment
I made chili for dinner.,achievement
"last month i am participate in cricket tournament in my city , my team win in final i am very happy that moment .",achievement
I managed to finish another semester of school.,achievement
I won $20 on a scratch off lottery ticket,achievement
we think to celebrate this event so i give to party to my friends .it is very good fun time in my days.i feel very happy to this accusation.they also feel very happy to my promotion.it gives all good time to me.it makes lot of fun in that time.,bonding
I finished moving a lot of items into a storage facility.,achievement
Drank my favorite coffee (Chameleon Cold Brew-Vanilla) this morning. ,enjoy_the_moment
I WENT TO COMPUTER CLASS.,achievement
When i claim back 95% my insurance money from insurance company.,achievement
" My wife and I were able to have lunch together yesterday, that always makes me happy. ",affection
I drank iced coffee while my baby napped.,affection
Winning a $10 lottery ticket.,achievement
My favorite soccer team won a game. ,achievement
"The sun was shining, so I sat outside and read my book.",leisure
I went to the beach with a friend I hadn't seen in a while.,bonding
Last week I went to a drinks party I had a perfect party at the weekend with my old friends. After a long time we had interact with each other and spent too much time. I was very emotional and felt happy about my friends are well settled after completed their undergraduate degree.,bonding
I booked my flights to Europe for an upcoming trip with my family this summer - this confirms the trip and I am very excited! ,affection
MY BEST FRIEND MARRIAGE PARTY,bonding
"lucky to live in the country in New York on acres of land. A highlight of my trip was taking Ferg out for a hike in the woods with my cousin. I watched him sniff every possible thing in sight, while continuing to check in and make sure we were still with him.",nature
I successfully made a perfect cup of coffee,achievement
Old friends meet.,bonding
One big event that made me happy in the past 3 months was finding a reasonably priced apartment in a good and safe area of town.,achievement
i go to old age home and service enjoy the moment.,enjoy_the_moment
It is an holiday,enjoy_the_moment
I was happy to hear that my wifes insurance will cover a large portion of an upcoming procedure. ,enjoy_the_moment
"I went for an additional run and my body doesn't hurt, think it shows that I'm getting more in shape",exercise
My son talked to my wife and I and he told us he is getting married soon. ,affection
I earned more money than normal. ,achievement
My 4 year old son was given several recognition during his graduation last month and I can definitely say that I'm a one proud happy mom forever!,affection
I found out my friend is following his dreams.,bonding
I went on a day trip with my wife to a nice beach.,affection
i had korean food for dinner ( my favorite),leisure
I won money from a scratch off ticket.,achievement
Went to the hardware store to pick up my new toilet.  The people helping me were friendly.,bonding
Birth of my daughter.,affection
I was told that I wouldn't have to serve jury duty and that I fulfilled everything required of me at the courthouse.,achievement
I am happy that I'm under 195 pounds now!,achievement
Went to the beach and looked for seaglass with my daughters one sunday.,affection
A new episode of my favorite podcasts came out today.,leisure
My best friend got married to the woman of his dreams.,bonding
Made love to my wife.,affection
I saw my wife,affection
My wife found a kitten on her morning walk.  She is really cute and my kids love her.,affection
"I was preparing a scrap book for another friend for her birthday. It had screenshots of our chats during the past year, photos, and notes. She teared up going through it and told me aI donat know what have I done to deserve people like you caring this mucha",bonding
"I got some much needed, unexpected birthday money from a friend.",bonding
We found a stray cat and couldnt catch it but we fed it . that made me happy . ,enjoy_the_moment
I sold my car. I made a nice profit.,achievement
"Being a firefighter, my recent medical call made me happy knowing that I had gained the trust of my over worried patient and that she had fully believed me when I told her she was safe.",achievement
About a month ago our Lab had puppies.,enjoy_the_moment
When I arrived home from a hard day of work my dog jumped into my arms.,affection
I love play Soccer with my Friends in the Stadium ,exercise
Getting a pay raise!,achievement
My puppy learned how to sit on command.,achievement
"I went to the beach this morning with my boys and my mother, since she was in town.",affection
I learned how to use the pool vacuum.,achievement
"My happiest moment was when I gave birth to my son. After
nine long months of waiting to meet him, at last that day
came. I was just so happy, and its unexplainable",affection
I had a great meal and caught up with a friend from college,bonding
I planned a night away with my wife.  I am so excited to have the night with just the two of us.  The kids are staying with grandparents and we are going to have a great night out.,affection
This outdoor cat I've been letting sit on my lap purred when I leaned down to hug it.,affection
I met a girl at work and went on a date with her that night.,affection
"I made an amazing dinner of garlic and butter noodles.  It had the perfect amount of salt, butter, and Parmesan cheese.  It made my mouth really happy.  ",achievement
when my nephew got celebrate his birthday,affection
Purchasing a new driver for golf.,achievement
I found out that I was pregnant by taking a pregnancy test 5 weeks ago.,achievement
coming home and being welcomed by my dog is always a time of the day that makes me happy.,affection
MY  FATHER CALLED ME AFTER A LONG TIME...,affection
"This happened this Diwali.
As I entered my native at Night after quite a long journey , crackers were everywhere, everyone busy with lighting crackers, having sweets etc.
But only a Man n Woman, busy with their regular work, woman is busy cleaning the home, man sitting outside quiet. Once I entered that home, She ran to me, Hugging me tight, With tears she Said ""You made my day my son, I never expected you would come "". Yes, She was my grand ma, Looking at her eyes , I said "" I am there for you ma, Don't worry "". I wiped off the tears and fed sweets which I brought to both of them with my hand. While going I had brought some Fruits, Sweets and Juice for them . Along with them I had also purchased a cell phone, which is capable of playing songs and videos along with memory card . I had downloaded few  Hari Kathe ( Kannada mythological stories ) and old Songs ( My grand pa loves Hari Kathe so much ). I showed them how to play them also. I set my number to speed dial. We had food together with conversation about many things including my marriage. They had a big smile on their face. At that moment I have experienced "" True Happiness "". I just realise how to spread happiness . Even I am having billions also, I am sure I can't feel that Happiness. Why they were sorry is not needed now, but they were in deep sad.",affection
Having lunch with my family on the weekend.,affection
I was able to declare my major and create an academic plan in order to complete my bachelors degree,achievement
"After interviewing for a job, I was soon informed that they wanted me to work with them.",achievement
I watched the season finale of Saturday Night Live and it made me laugh quite a bit.,leisure
I received my state income tax check in the mail,achievement
Finally getting my air conditioner fixed,achievement
Walked my dog,affection
got promotion in my job,achievement
i was at park,leisure
I ordered a new dish from my fav restaurant yesterday and it was amazing ,enjoy_the_moment
"I got to stop by my late sister's new resting place for the first time.  It was a very nice, and happy moment for me to finally see where she is.  It meant the word to me. ",affection
Buying my friend a wedding gift. ,bonding
My son was able to solve the Rubix cube twice by watching in youtube.,achievement
"My niece turned two years old this past month, and it was so nice to get to see all of my family and friends, and watching her with her family that day was a blessing.",affection
"I managed to have a decent conversation with an attractive person at Trader Joe's. He was really friendly, and humble and it really made me happy because I actually avoided his checkout aisle in the past because I am pretty shy. For some reason that day, I didn't really have any problem striking up a conversation and it was awesome. ",enjoy_the_moment
MY HAPPIEST MOMENT EVERYDAY MY MOM SAY BYE TO ME WHEN I GET READY TO GO SOMEWHERE ,affection
I saw Beauty and the Beast in theaters.,leisure
My husband got me 5 new pairs of leggings that I had be wanting.,affection
"Yesterday, I weighed myself and lost 3 lbs.",achievement
I went to temple,leisure
I ATTENDED MY FRIEND SCHOOL ANNUAL DAY FUNCTION,bonding
The sunshine and beautiful weather!,nature
I had a night away from the children this past weekend.,affection
I WENT TO COMPUTER CLASS.,achievement
I cooked a good dinner.,achievement
"I'm holding a purring, biscuit making kitty.",affection
I made my husband a funny birthday card.,affection
"a month ago I applied for a new job because my other job was awful, I was hired immediately, which meant I didn't have to endure the stressful time ""between jobs"", so that was a happy moment for me!",achievement
I was able to negotiate a better deal on a product.,achievement
I went to music class.,leisure
I won $50 on an instant lottery ticket.,achievement
I CALLED TO MY BOY FRIEND AND TALKING ABOUT CHILDHOOD DAYS.,bonding
I went to a cousin's beautiful wedding and felt the love the whole time.,affection
An event that made me happy in the past 24 hours was getting my meal for free at work.,enjoy_the_moment
I am attending my sister's wedding in a couple weeks and managed to get the perfect shoes today.,affection
There was a cool thunderstorm.,nature
My happy moment was my husband making me dinner.,affection
"Earlier this week, I hung out with friends, went to happy hour, and then had drinks in the hot tub.",bonding
I had a busy day at work this morning and made a lot of money.,achievement
My daughter received the news that she was accepted into a music scholarship program that she had auditioned for. Seeing her achieve something she wanted and tried hard to achieve made me feel very happy and proud of her.,affection
"It means when we get the desired one in our life, that is the most happiest women. ",affection
I ate meal that had cheese in every dish.,enjoy_the_moment
Today I speak with my husband on phone. I was depressed by something. By talking and sharing with him I felt relieved and happy.,affection
IN A MOVIE THEATER WITH MY FRIENDS,bonding
Purchased a Bicycle for exercising and keep my body fit.,exercise
ENJOY WITH FAMILY,affection
I made 500 dollars,achievement
"My daughter, who is 2, said a complete sentence; ""Daddy, i missed you while you were at work!""",affection
"I played some tekken matches with one of my online friends. Although I lost every game, I showed much improvement from before. With this, I continued to practice a bit to learn some more combos.",bonding
"I bought my ps4, got some money and i bought my new video game.",achievement
I had ice cream and pizza for dinner.,enjoy_the_moment
I made delicious soup dumplings.,achievement
I received a gift from my girlfriend without any reason.,affection
Having our pups snuggle into me while we were all sleeping.,affection
It made me happy to receive good news from a source that I needed to accomplish a very important challenge that will change my life.,achievement
Getting to start my second semester of college.,achievement
I got my bff to stop yelling at me all the time because her boyfriend is a dick,bonding
"Laboring for months, to finally see that my garden is finally flourishing and coming together splendidly.",achievement
I WENT TO BANGALORE FOR INDUSTRAIL VISIT,achievement
Playing ufc 2 video game with my friends.,bonding
We planted our garden and it's bigger than ever this year.,nature
AM GOING TO MY GRANDMOTHER HOUSE WITH MY SISTERS AND VERY ENJOYING HAPPINESS THAT MOMENT,affection
I WEND TO SHOPPING,leisure
When I woke up from sleeping for 13 hours.  Had a stomach bug on Tuesday and sleep so well after having it.  I felt great and happy waking up. ,enjoy_the_moment
Took my wife shopping,affection
"Listened to Sunny & Gabe's new song ""Vacay"".",leisure
"My step daughter found a baby turtle, which we brought to the nearest pond.",affection
The printer in my office began to work again.,enjoy_the_moment
I met one of my old friend and talk many matters.,bonding
"My happiest moment was when I gave birth to my son. After  nine long months of waiting to meet him, at last that day came. I was just so happy, and its unexplainable!",affection
My mother called out of the blue to tell me how proud she is of me.,affection
I won a free shirt at the mall.,achievement
I got some household chores done. ,achievement
I had great sex before I went to sleep last night.,enjoy_the_moment
The offsite with colleagues was great fun. We had stimulating discussions,bonding
My friends got dinner with me tonight.,bonding
Meeting an old friend.. it was great.. that we are still same,bonding
My little man started to ride his bike without training wheels,affection
Eating a BBQ pizza from Little Ceasars.,enjoy_the_moment
I created a working yet simple computer game.,achievement
I finished all 30000 of my tasks I was assigned at work before leaving on vacation!,achievement
My cat continued to use the litter box so I knew her medication was working.,affection
Watched a TV show with my wife,affection
I WENT TO SHOPPING MALL.,leisure
I ran 12 miles.,exercise
"I bought one of those cool, Dyson blade-less fans, and I got to enjoy it on a warm day in April.",enjoy_the_moment
"My two year old told a knock knock joke that my husband and I didn't get the punchline to until we realized she thought it was funny because it sounded like we were saying ""poopoo"".",affection
My partner came home from work early.,affection
My friend paid for my lunch.,bonding
I taught my two year old to build with mega blocks.,affection
I got a $40 jar of Amazing Grass Superfood for $11.50.,achievement
I received information about a possible job offer that would be longer than usual gigs,achievement
I BOUGHT A NEW HOUSE.,achievement
I found $20 in the pocket of my jeans.,enjoy_the_moment
My wife received an steroid epidural in her lower back and her pain is abating.,affection
I watched a very exciting basketball game where the team I was rooting for won.,leisure
My fiancA(c)'s court paperwork came through stating the finalized child custody so we have 50/50 joint custody of his kids.,achievement
MY FRIENDS ALWAYS ENJOY THE MOMENT OF THE REMEMBER DAY SO HAPPY FOR US.THAT MOMENT IS REALLY UNFORGETTABLE EXPERIENCE IN MY LIFE HISTORY.WE ARE SO ENJOYED AND LOVED THAT MOMENT.,bonding
It made me happy when my son won his baseball game.,affection
"My pastor asked me to guest preach for him, it was an amazing honor.",achievement
I went to temple.,leisure
A neighbor helped me with some yard work.,bonding
"I finally got all the characters unlocked in a game I have been playing online for over 3 years, it was a long time coming!",achievement
My little one just started to crawl on knees this morning.,affection
I played with my friend's new puppy.,bonding
My daughter was awarded a cash prize of Rs. 5000 in the school annual day for her performance in last year's public exam.,achievement
I was able to get a discount for some items I needed for my daughter. I saved about $10 total. ,achievement
I was able to get my daughter to giggle a whole bunch while playing with her.,affection
i attended one function at orphanage...i had lunch with kids...it was a lovely time,enjoy_the_moment
I took a half day at work and was able to catch up on sleep and did not much too much.,leisure
My friend invited me on a trip to Tahoe for the weekend last month and it was wonderful to enjoy nature.,bonding
I was happy when I saw my girlfriend last month after being away from her for about a month. ,affection
I was at work per usual and was told that I was going to receive a raise.,achievement
"When i go to uncle house, unfortunately i saw my sister with her new born baby whom i love to much so i would say that is most beautiful day for me.",affection
I finally found out why the DMV hasnt sent my license plates,achievement
When I am came to my office I meet my grandpa and grandma. They shared me about my uncle 's summer vocation trip and blessed me to get bright future in my life.,affection
"The pork I cooked for dinner last night turned out well, I was worried it wouldn't. ",achievement
when i discovered a piece of cake inside my fridge,leisure
My bike got painted.,achievement
I proposed to my girlfriend and she said yes.,affection
I WENT TO BROWSING CENTER,leisure
my wife job got permanent ed and they given good increment more than 5000 rupees ,affection
When my family babysat my children so my husband and I could have an evening alone it made me very happy.,affection
my wife job got permanent ed and they given good increment more than 5000 rupees ,affection
the marriage function very enjoy the emotional of day,affection
Sitting on my porch and enjoying the sunset makes me happy.,nature
I made a coffee table for my new apartment. I took wood crates and varnished them and drilled them together. It came out beautiful. ,achievement
I baked some cake and took it for my neighbor and he was in awe of me,bonding
I read a novel with a very entertaining story. ,leisure
It really made me happy when my husband came to visit me at work.,affection
I got a call from a friend I had lost contact with for a long time.,bonding
Getting my current job in the field that I specifically wanted to work in.,achievement
"Finally, after months of losing, I won a drawing at a local bar for two free beers a day for the month.",achievement
I was able to hang out with a few friends from high school that I had not seen in years.,bonding
Working out last night after work made me happy. I got to accomplish what i needed to do for myself,achievement
I made $100 as an audience member for the taping of a PBS special. ,achievement
I finally got a lost package sent to my house by the USPS; it had been shuffled in the mail for over two weeks and it was only supposed to take 2 days.,achievement
I finally got to do some much needed food shopping.,achievement
I hung out with great friends tonight and had drinks and talked about life. It was really chill and laid back!,bonding
Going to a concert I have been looking forward to seeing.,leisure
My cheerleader daughter was finally able to master her scorpion pose; she has been working on it for WEEKS!,affection
